LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:0.00321161 ,RightTorque:-0.00371483
LeftTorque:52.3544 ,RightTorque:-2145.04
LeftTorque:109.934 ,RightTorque:-2230.06
LeftTorque:150.713 ,RightTorque:-1477.94
LeftTorque:158.419 ,RightTorque:-757.295
LeftTorque:136.648 ,RightTorque:-132.466
LeftTorque:95.7816 ,RightTorque:385.764
LeftTorque:44.5814 ,RightTorque:794.353
LeftTorque:-10.0422 ,RightTorque:1095.31
LeftTorque:-63.0839 ,RightTorque:1293.4
EncoderTime: 73184 TrajectoryTime: 2274
LeftTorque:-110.053 ,RightTorque:1396
EncoderTime: 167866 TrajectoryTime: 3156
LeftTorque:-269.712 ,RightTorque:7023.09
LeftTorque:-237.737 ,RightTorque:-4947.83
LeftTorque:-2230.18 ,RightTorque:-6863.5
LeftTorque:-1159.81 ,RightTorque:-2378.87
LeftTorque:-314.896 ,RightTorque:1062.46
LeftTorque:71.6754 ,RightTorque:2864.74
LeftTorque:63.331 ,RightTorque:3091.54
EncoderTime: 123323 TrajectoryTime: 3580
LeftTorque:-227.768 ,RightTorque:1941.37
EncoderTime: 69189 TrajectoryTime: 1374
LeftTorque:-176.93 ,RightTorque:1260.28
LeftTorque:102.273 ,RightTorque:-5251.59
LeftTorque:274.709 ,RightTorque:-4196.99
LeftTorque:485.426 ,RightTorque:-814.675
LeftTorque:552.426 ,RightTorque:1706.67
LeftTorque:466.186 ,RightTorque:3092.81
LeftTorque:292.678 ,RightTorque:3393.83
EncoderTime: 63959 TrajectoryTime: 2413
LeftTorque:115.868 ,RightTorque:2745.36
EncoderTime: 234140 TrajectoryTime: 6244
LeftTorque:3.05909 ,RightTorque:1479.1
LeftTorque:-57.1901 ,RightTorque:-5475.34
LeftTorque:84.8342 ,RightTorque:-4493.82
LeftTorque:299.467 ,RightTorque:-1174.05
LeftTorque:385.534 ,RightTorque:1379.67
LeftTorque:324.219 ,RightTorque:2888.47
LeftTorque:169.464 ,RightTorque:3383.34
LeftTorque:-3.21468 ,RightTorque:2986.15
EncoderTime: 175641 TrajectoryTime: 2705
LeftTorque:-127.032 ,RightTorque:1826.6
EncoderTime: 39509 TrajectoryTime: 1344
LeftTorque:-169.699 ,RightTorque:1283.5
LeftTorque:-173.692 ,RightTorque:-5664.11
LeftTorque:-90.3479 ,RightTorque:-4657.86
LeftTorque:26.0153 ,RightTorque:-1326.5
LeftTorque:97.66 ,RightTorque:1215.19
LeftTorque:114.96 ,RightTorque:2690.44
LeftTorque:134.083 ,RightTorque:3133.88
EncoderTime: 89885 TrajectoryTime: 5068
LeftTorque:231.167 ,RightTorque:2668.74
EncoderTime: 120134 TrajectoryTime: 3580
LeftTorque:221.785 ,RightTorque:1622.98
LeftTorque:4832.31 ,RightTorque:775.458
LeftTorque:4069.53 ,RightTorque:763.617
LeftTorque:1927.38 ,RightTorque:740.612
LeftTorque:149.148 ,RightTorque:687.549
LeftTorque:-1049.45 ,RightTorque:672.797
LeftTorque:-1607.4 ,RightTorque:693.093
LeftTorque:-1520.13 ,RightTorque:710.105
EncoderTime: 67980 TrajectoryTime: 2158
LeftTorque:-804.99 ,RightTorque:684.769
EncoderTime: 120300 TrajectoryTime: 2728
LeftTorque:-830.319 ,RightTorque:630.741
LeftTorque:-511.879 ,RightTorque:-5797.38
LeftTorque:-354.634 ,RightTorque:-4704.43
LeftTorque:-245.265 ,RightTorque:-1468.65
LeftTorque:-237.789 ,RightTorque:889.738
LeftTorque:-329.665 ,RightTorque:2132.55
LeftTorque:-450.803 ,RightTorque:2318.59
EncoderTime: 144284 TrajectoryTime: 2596
LeftTorque:-518.643 ,RightTorque:1573.66
EncoderTime: 25146 TrajectoryTime: 855
LeftTorque:-516.023 ,RightTorque:793.257
LeftTorque:-193.044 ,RightTorque:-5449.68
LeftTorque:-51.3078 ,RightTorque:-4451.18
LeftTorque:43.4923 ,RightTorque:-1324.73
LeftTorque:37.0619 ,RightTorque:1029.67
LeftTorque:-72.38 ,RightTorque:2367.52
LeftTorque:-224.292 ,RightTorque:2727.73
EncoderTime: 271044 TrajectoryTime: 7648
LeftTorque:-341.538 ,RightTorque:2223.13
EncoderTime: 41405 TrajectoryTime: 1219
LeftTorque:-367.693 ,RightTorque:1084.72
LeftTorque:-80.088 ,RightTorque:-5274.62
LeftTorque:126.572 ,RightTorque:-4264.37
LeftTorque:325.438 ,RightTorque:-1092.76
LeftTorque:345.002 ,RightTorque:1276.87
LeftTorque:176.869 ,RightTorque:2599.08
LeftTorque:-115.89 ,RightTorque:2919.96
LeftTorque:-450.013 ,RightTorque:2362.31
EncoderTime: 76077 TrajectoryTime: 1440
LeftTorque:-756.714 ,RightTorque:1045.69
EncoderTime: 72974 TrajectoryTime: 3267
LeftTorque:-539.403 ,RightTorque:805.212
LeftTorque:-5045.28 ,RightTorque:-10000.4
LeftTorque:-1872.22 ,RightTorque:-8319.99
LeftTorque:12.5832 ,RightTorque:-1221.22
LeftTorque:1135.79 ,RightTorque:2680.48
LeftTorque:1536.12 ,RightTorque:4554.01
LeftTorque:1331.88 ,RightTorque:4626.39
EncoderTime: 59599 TrajectoryTime: 1782
LeftTorque:674.589 ,RightTorque:3175.89
